symbol,last_esg_update_date,esg_score,controversy_risk,environment_risk_score,social_risk_score,governance_risk_score,updated_on
ERAA.JK,20231220_091210,12.67,0,0.0,0.0,0.0,20240417_125251
JSMR.JK,20231220_091210,12.92,0,0.0,0.0,0.0,20240417_125254
BSDE.JK,20231220_091210,14.83,0,0.0,0.0,0.0,20240417_125257
EMTK.JK,20231220_091210,14.9,0,0.0,0.0,0.0,20240417_125302
SCMA.JK,20231220_091210,15.35,0,0.0,0.0,0.0,20240417_125306
TPIA.JK,20231220_091210,16.6,0,11.6,0.38,4.62,20240417_125309
MNCN.JK,20231220_091210,17.7,0,0.0,0.0,0.0,20240417_125311
BMTR.JK,20231220_091210,18.14,0,0.0,0.0,0.0,20240417_125313
MPMX.JK,20231220_091210,18.64,0,0.0,0.0,0.0,20240417_125315
UNVR.JK,20231220_091210,18.8,0,6.93,6.37,5.5,20240417_125318
BBRI.JK,20231220_091210,18.84,2,2.02,8.05,8.77,20240417_125320
CTRA.JK,20231220_091210,18.87,0,0.0,0.0,0.0,20240417_125323
ACES.JK,20231220_091210,18.95,0,6.01,7.22,5.72,20240417_125325
SIDO.JK,20231220_091210,19.06,0,0.0,0.0,0.0,20240417_125328
ASSA.JK,20231220_091210,19.24,0,0.0,0.0,0.0,20240417_125337
PWON.JK,20231220_091210,19.42,0,0.0,0.0,0.0,20240417_125340
MAPI.JK,20231220_091210,20.31,0,0.0,0.0,0.0,20240417_125343
GOTO.JK,20231220_091210,21.12,0,0.0,0.0,0.0,20240417_125346
BBNI.JK,20231220_091210,21.35,2,1.57,9.77,10.01,20240417_125349
BBCA.JK,20231220_091210,22.67,2,1.82,9.05,11.81,20240417_125352
RMKE.JK,20231220_091210,22.74,0,0.0,0.0,0.0,20240417_125355
SMDR.JK,20231220_091210,22.76,0,0.0,0.0,0.0,20240417_125357
BBTN.JK,20231220_091210,22.87,0,1.87,10.27,10.74,20240417_125402
TBIG.JK,20231220_091210,23.25,0,0.0,0.0,0.0,20240417_125404
BRPT.JK,20231220_091210,23.96,1,16.99,1.13,5.84,20240417_125407
PGAS.JK,20231220_091210,24.68,0,9.19,8.52,6.97,20240417_125410
AGRO.JK,20231220_091210,24.76,0,0.0,0.0,0.0,20240417_125414
BFIN.JK,20231220_091210,25.02,0,0.0,0.0,0.0,20240417_125416
MIKA.JK,20231220_091210,25.7,2,0.0,0.0,0.0,20240417_125419
SMRA.JK,20231220_091210,25.72,0,0.0,0.0,0.0,20240417_125424
AVIA.JK,20231220_091210,25.85,0,0.0,0.0,0.0,20240417_125427
AKRA.JK,20231220_091210,26.03,0,0.0,0.0,0.0,20240417_125430
TOWR.JK,20231220_091210,26.3,0,8.05,10.29,7.96,20240417_125433
BRIS.JK,20231220_091210,26.79,0,0.0,0.0,0.0,20240417_125437
TLKM.JK,20231220_091210,27.09,1,6.83,12.6,7.66,20240417_125439
INKP.JK,20231220_091210,27.46,4,17.34,4.57,5.55,20240417_125444
WIFI.JK,20231220_091210,27.74,0,0.0,0.0,0.0,20240417_125447
PNLF.JK,20231220_091210,28.01,0,0.0,0.0,0.0,20240417_125452
BMRI.JK,20231220_091210,28.18,2,3.0,11.16,14.02,20240417_125454
EXCL.JK,20231220_091210,28.25,0,9.19,11.52,7.55,20240417_125457
BTPS.JK,20231220_091210,28.51,0,0.0,0.0,0.0,20240417_125459
OMED.JK,20231220_091210,28.75,0,0.0,0.0,0.0,20240417_125503
BUKA.JK,20231220_091210,29.16,0,0.0,0.0,0.0,20240417_125507
SRTG.JK,20231220_091210,29.37,0,0.0,0.0,0.0,20240417_125509
MEDC.JK,20231220_091210,29.58,0,15.8,6.68,7.1,20240417_125511
WIKA.JK,20231220_091210,29.76,0,0.0,0.0,0.0,20240417_125514
INTP.JK,20231220_091210,29.84,0,16.64,4.55,8.66,20240417_125517
TKIM.JK,20231220_091210,30.35,4,0.0,0.0,0.0,20240417_125520
ELSA.JK,20231220_091210,30.83,0,0.0,0.0,0.0,20240417_125522
MYOR.JK,20231220_091210,31.18,1,0.0,0.0,0.0,20240417_125524
HMSP.JK,20231220_091210,32.08,0,8.45,15.16,8.47,20240417_125527
ARTO.JK,20231220_091210,32.13,0,1.83,13.94,16.36,20240417_125530
SMGR.JK,20231220_091210,32.42,1,18.85,4.6,8.97,20240417_125533
AMRT.JK,20231220_091210,32.67,0,10.59,14.41,7.67,20240417_125535
MDKA.JK,20231220_091210,32.67,2,16.95,8.29,7.43,20240417_125539
ISAT.JK,20231220_091210,33.29,2,0.0,0.0,0.0,20240417_125541
ASII.JK,20231220_091210,33.36,3,13.87,9.24,10.25,20240417_125544
