esg_score,industry_rank,total_companies_on_industry,global_rank,total_companies_on_ms,last_esg_full_update_date,last_esg_update_date,industry_group,symbol,controversy_risk,management,exposure,sdgi,event,updated_on
21.0,139,404,5391,16063,20240228_000000,20240427_000000,Transportation,GTRA.JK,0,Average,Low,[],[],20241017_041635
28.9,403,636,10648,16063,20241014_000000,20241014_000000,Healthcare,HEAL.JK,0,Average,Medium,[],[],20241017_041636
27.3,157,644,9657,16063,20240408_000000,20240523_000000,Food Products,HMSP.JK,0,Strong,Medium,[],[],20241017_041638
50.1,213,307,15780,16063,20241007_000000,20241007_000000,Oil & Gas Producers,HRUM.JK,0,Average,High,[],[],20241017_041639
34.8,366,644,13487,16063,20240207_000000,20240523_000000,Food Products,ICBP.JK,0,Average,Medium,[],[],20241017_041640
29.8,124,160,11264,16063,20241014_000000,20241014_000000,Building Products,IMPC.JK,0,Average,Medium,[],[],20241017_041641
29.4,40,238,10994,16063,20241014_000000,20241014_000000,Diversified Metals,INCO.JK,0,Strong,High,[],[],20241017_041641
36.1,398,644,13979,16063,20240429_000000,20240531_000000,Food Products,INDF.JK,0,Average,High,[],[],20241017_041643
35.8,77,307,13829,16063,20230731_000000,20240523_000000,Oil & Gas Producers,INDY.JK,0,Strong,High,[],[],20241017_041644
26.4,61,83,9050,16063,20231113_000000,20240523_000000,Paper & Forestry,INKP.JK,0,Strong,Medium,[],[],20241017_041645
27.4,28,134,9714,16063,20240402_000000,20240523_000000,Construction Materials,INTP.JK,0,Strong,Medium,[],[],20241017_041645
29.6,156,227,11105,16063,20241014_000000,20241014_000000,Telecommunication Services,ISAT.JK,0,Average,Medium,[],[],20241017_041647
33.5,58,307,13052,16063,20240226_000000,20240523_000000,Oil & Gas Producers,ITMG.JK,0,Strong,High,[],[],20241017_041648
39.8,488,644,14833,16063,20240515_000000,20240515_000000,Food Products,JPFA.JK,0,Average,High,[],[],20241017_041649
10.7,26,188,515,16063,20241014_000000,20241014_000000,Transportation Infrastructure,JSMR.JK,0,Strong,Low,[],[],20241017_041650
28.5,1020,1036,10414,16063,20240930_000000,20240930_000000,Real Estate,KIJA.JK,0,Average,Medium,[],[],20241017_041651
33.3,672,914,12917,16063,20231011_000000,20240523_000000,Pharmaceuticals,KLBF.JK,0,Average,Medium,[],[],20241017_041652
21.2,782,1036,5477,16063,20230424_000000,20240503_000000,Real Estate,LPKR.JK,0,Average,Medium,[],[],20241017_041653
20.5,338,509,5017,16063,20240515_000000,20240515_000000,Retailing,LPPF.JK,0,Weak,Low,[],[],20241017_041653
36.2,403,644,14025,16063,20240930_000000,20240930_000000,Food Products,LSIP.JK,0,Average,High,[],[],20241017_041655
21.0,364,509,5401,16063,20240827_000000,20240827_000000,Retailing,MAPA.JK,0,Weak,Low,[],[],20241017_041655
20.3,331,509,4932,16063,20230522_000000,20240427_000000,Retailing,MAPI.JK,0,Average,Low,[],[],20241017_041656
45.8,134,238,15494,16063,20240213_000000,20240213_000000,Diversified Metals,MBMA.JK,0,Average,High,[],[],20241017_041657
42.9,139,307,15238,16063,20240229_000000,20240427_000000,Oil & Gas Producers,MCOL.JK,0,Average,High,[],[],20241017_041658
29.9,46,238,11301,16063,20240126_000000,20240523_000000,Diversified Metals,MDKA.JK,0,Strong,High,[],[],20241017_041659
29.1,31,307,10788,16063,20231101_000000,20240523_000000,Oil & Gas Producers,MEDC.JK,0,Strong,High,[],[],20241017_041700
23.6,122,199,7095,16063,20240328_000000,20240427_000000,Food Retailers,MIDI.JK,0,Average,Medium,[],[],20241017_041701
25.7,312,636,8555,16063,20241014_000000,20241014_000000,Healthcare,MIKA.JK,0,Average,Medium,[],[],20241017_041702
17.9,187,300,3408,16063,20240305_000000,20240305_000000,Media,MNCN.JK,0,Weak,Low,[],[],20241017_041702
18.6,256,509,3891,16063,20231128_000000,20231128_000000,Retailing,MPMX.JK,0,Weak,Low,[],[],20241017_041703
19.4,233,300,4336,16063,20230405_000000,20230405_000000,Media,MSIN.JK,0,Weak,Low,[],[],20241017_041704
24.3,554,669,7636,16063,20230228_000000,20240427_000000,Technology Hardware,MTDL.JK,0,Average,Low,[],[],20241017_041704
19.3,31,227,4297,16063,20241008_000000,20241008_000000,Telecommunication Services,MTEL.JK,0,Strong,Medium,[],[],20241017_041706
33.8,344,644,13150,16063,20241014_000000,20241014_000000,Food Products,MYOR.JK,0,Average,Medium,[],[],20241017_041706
38.4,88,238,14554,16063,20240306_000000,20240927_000000,Diversified Metals,NCKL.JK,0,Average,High,[],[],20241017_041707
30.1,797,1043,11381,16063,20241001_000000,20241001_000000,Banks,NISP.JK,0,Average,Medium,[],[],20241017_041708
